Date,Height
1992-09-26,1638.04
1992-10-06,9999.99
1992-10-16,1638.31
1992-10-26,9999.99
1992-11-05,1637.74
1992-11-15,1637.38
1992-11-25,1637.71
1992-12-05,1637.84
1992-12-15,1637.82
1992-12-25,1637.31
1993-01-03,1637.46
1993-01-13,1637.05
1993-01-23,1637.5
1993-02-02,1637.41
1993-02-12,1637.62
1993-02-22,1637.15
1993-03-04,1637.35
1993-03-14,9999.99
1993-03-24,1637.56
1993-04-03,9999.99
1993-04-13,1637.14
1993-04-23,1637.12
1993-05-02,1637.4
1993-05-12,9999.99
1993-05-22,1637.16
1993-06-01,9999.99
1993-06-11,1637.64
1993-06-21,1637.64
1993-07-01,9999.99
1993-07-11,1637.49
1993-07-21,9999.99
1993-07-31,9999.99
1993-08-10,9999.99
1993-08-20,1637.88
1993-08-29,1637.89
1993-09-08,9999.99
1993-09-18,9999.99
1993-09-28,1638.11
1993-10-08,9999.99
1993-10-18,9999.99
1993-10-28,9999.99
1993-11-07,1637.49
1993-11-17,1637.54
1993-11-27,9999.99
1993-12-07,1637.38
1993-12-17,9999.99
1993-12-26,1637.31
1994-01-05,1637.15
1994-01-15,1638.3
1994-01-25,1637.89
1994-02-04,1637.54
1994-02-14,1637.86
1994-02-24,1637.49
1994-03-06,1637.26
1994-03-16,9999.99
1994-03-26,1637.28
1994-04-05,1637.44
1994-04-14,1636.95
1994-04-24,1636.9
1994-05-04,9999.99
1994-05-14,1636.8
1994-05-24,1637.02
1994-06-03,1637.48
1994-06-13,1637.61
1994-06-23,9999.99
1994-07-03,1636.66
1994-07-13,1637.2
1994-07-23,1636.91
1994-08-02,9999.99
1994-08-11,1637.25
1994-08-21,1637.82
1994-08-31,9999.99
1994-09-10,1637.85
1994-09-20,1638.56
1994-09-30,1638.22
1994-10-10,1637.78
1994-10-20,1638.36
1994-10-30,1637.83
1994-11-09,9999.99
1994-11-19,9999.99
1994-11-29,1637.7
1994-12-08,1637.3
1994-12-18,9999.99
1994-12-28,9999.99
1995-01-07,9999.99
1995-01-17,1637.17
1995-01-27,1637.67
1995-02-06,9999.99
1995-02-16,1637.38
1995-02-26,9999.99
1995-03-08,9999.99
1995-03-18,1637.67
1995-03-28,1637.22
1995-04-06,1637.47
1995-04-16,1637.25
1995-04-26,9999.99
1995-05-06,9999.99
1995-05-16,1637.13
1995-05-26,1637.53
1995-06-05,9999.99
1995-06-15,1637.38
1995-06-25,1636.99
1995-07-05,9999.99
1995-07-15,1637.05
1995-07-25,9999.99
1995-08-03,1636.97
1995-08-13,1637.47
1995-08-23,1637.79
1995-09-02,9999.99
1995-09-12,9999.99
1995-09-22,1637.93
1995-10-02,1637.8
1995-10-12,1637.81
1995-10-22,9999.99
1995-11-01,1637.81
1995-11-11,9999.99
1995-11-21,9999.99
1995-12-10,1638.0
1995-12-20,1637.95
1995-12-30,1638.18
1996-01-09,1637.76
1996-01-19,9999.99
1996-01-29,1637.35
1996-02-08,9999.99
1996-02-18,9999.99
1996-02-28,1636.75
1996-03-09,9999.99
1996-03-19,9999.99
1996-03-28,1636.85
1996-04-07,1636.91
1996-04-17,1637.18
1996-04-27,1636.89
1996-05-07,1636.65
1996-05-17,1637.38
1996-05-27,1637.32
1996-06-06,9999.99
1996-06-16,9999.99
1996-06-26,1637.1
